feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,clor_val
0.17455178,0.17108235,0.18172391,0.17561507,0.18172391,0.1769667,0.17697102,0.16702493,0.17561507
0.17561507,0.17561507,0.18172391,0.1769667,0.16702493,0.1767998,0.17795588,0.1768009,0.17697102
0.1769667,0.17697102,0.16702493,0.1767998,0.1768009,0.17258355,0.17608406,0.18067005,0.17795588
0.1767998,0.17795588,0.1768009,0.17258355,0.18067005,0.17619139,0.18063024,0.17889504,0.17608406
0.17258355,0.17608406,0.18067005,0.17619139,0.17889504,0.18759505,0.1794089,0.17555802,0.18063024
0.17619139,0.18063024,0.17889504,0.18759505,0.17555802,0.1759888,0.16540256,0.17555802,0.1794089
0.18759505,0.1794089,0.17555802,0.1759888,0.17555802,0.17162068,0.17190814,0.16753308,0.16540256
0.1759888,0.16540256,0.17555802,0.17162068,0.16753308,0.18919194,0.18130831,0.18191378,0.17190814
0.17162068,0.17190814,0.16753308,0.18919194,0.18191378,0.17772645,0.17932586,0.19200704,0.18130831
0.18919194,0.18130831,0.18191378,0.17772645,0.19200704,0.17881903,0.17870197,0.17870197,0.17932586
0.17772645,0.17932586,0.19200704,0.17881903,0.17870197,0.17412078,0.17412078,0.17829113,0.17870197
0.17881903,0.17870197,0.17870197,0.17412078,0.17829113,0.18155959,0.17217317,0.1699765,0.17412078
0.17412078,0.17412078,0.17829113,0.18155959,0.1699765,0.17591594,0.16947073,0.16838428,0.17217317
0.18155959,0.17217317,0.1699765,0.17591594,0.16838428,0.17117932,0.173955,0.1802205,0.16947073
0.17591594,0.16947073,0.16838428,0.17117932,0.1802205,0.17117932,0.16968396,0.17673558,0.173955
0.17117932,0.173955,0.1802205,0.17117932,0.17673558,0.17045568,0.1742165,0.1766668,0.16968396
0.17117932,0.16968396,0.17673558,0.17045568,0.1766668,0.15549836,0.16562593,0.17562355,0.1742165
0.17045568,0.1742165,0.1766668,0.15549836,0.17562355,0.15346481,0.16407594,0.17563774,0.16562593
0.15549836,0.16562593,0.17562355,0.15346481,0.17563774,0.15346481,0.1667034,0.16936067,0.16407594
0.15346481,0.16407594,0.17563774,0.15346481,0.16936067,0.15572217,0.16308409,0.17153654,0.1667034
0.15346481,0.1667034,0.16936067,0.15572217,0.17153654,0.15536556,0.15682869,0.15682869,0.16308409
0.15572217,0.16308409,0.17153654,0.15536556,0.15682869,0.15229745,0.15229745,0.14723279,0.15682869
0.15536556,0.15682869,0.15682869,0.15229745,0.14723279,0.12394151,0.15001908,0.15698434,0.15229745
0.15662804,0.15558974,0.17768344,0.18425539,0.18159844,0.18425539,0.17964286,0.17964286,0.17964286
0.18425539,0.17964286,0.18159844,0.18425539,0.17964286,0.17108235,0.18172391,0.16479875,0.17964286
0.18425539,0.17964286,0.17964286,0.17108235,0.16479875,0.17561507,0.18172391,0.17973946,0.18172391
0.17108235,0.18172391,0.16479875,0.17561507,0.17973946,0.17697102,0.16702493,0.19049203,0.18172391
0.17561507,0.18172391,0.17973946,0.17697102,0.19049203,0.17795588,0.1768009,0.19049203,0.16702493
0.17697102,0.16702493,0.19049203,0.17795588,0.19049203,0.17608406,0.18067005,0.18767212,0.1768009
0.17795588,0.1768009,0.19049203,0.17608406,0.18767212,0.18063024,0.17889504,0.18940344,0.18067005
0.17608406,0.18067005,0.18767212,0.18063024,0.18940344,0.1794089,0.17555802,0.1843234,0.17889504
