feature_0,feature_1,feature_2,feature_3,feature_4,clor_val
0.26321846,0.26654908,0.2651102,0.26244026,0.23787215,0.25833404
0.20779598,0.20941463,0.20583981,0.19132054,0.19433418,0.20899887
0.21612006,0.21725862,0.20899887,0.20941463,0.206183,0.20779598
0.19132054,0.19433418,0.20661828,0.2651102,0.26145196,0.20704885
0.20661828,0.20704885,0.2651102,0.26244026,0.3301736,0.26145196
0.2651102,0.26145196,0.26244026,0.23787215,0.3743412,0.3301736
0.21725862,0.2115997,0.2154547,0.206183,0.21968822,0.20126125
0.20967133,0.21539621,0.2115997,0.20126125,0.21968822,0.2154547
0.09931896,0.19603209,0.19026248,0.2254046,0.15430017,0.2631742
0.15430017,0.20514135,0.17373964,0.20011468,0.22196226,0.18359955
0.15265211,0.1549109,0.173658,0.18257631,0.1591829,0.19529265
0.14553085,0.14553085,0.14429691,0.15004073,0.15004073,0.15004073
0.15004073,0.15004073,0.15004073,0.16299666,0.16299666,0.15004073
0.12462521,0.15029058,0.12462521,0.14553085,0.19682337,0.12462521
0.15029058,0.19682337,0.19682337,0.1610716,0.17325024,0.19682337
0.1610716,0.1610716,0.17325024,0.17543344,0.17543344,0.17543344
0.19682337,0.1610716,0.17325024,0.1610716,0.17325024,0.17325024
0.1610716,0.17325024,0.17325024,0.1610716,0.17543344,0.17325024
0.13395073,0.13395073,0.13395073,0.13395073,0.13395073,0.13395073
0.13395073,0.13395073,0.13395073,0.13395073,0.13395073,0.13395073
0.15303789,0.15303789,0.15303789,0.19904651,0.19904651,0.15303789
0.15303789,0.15303789,0.19904651,0.21393809,0.21393809,0.19904651
0.19904651,0.19904651,0.21393809,0.21393809,0.21393809,0.21393809
0.21393809,0.21393809,0.21393809,0.21393809,0.21393809,0.21393809
0.15303789,0.15303789,0.19904651,0.21393809,0.21393809,0.19904651
0.19904651,0.19904651,0.21393809,0.21393809,0.21393809,0.21393809
0.15991072,0.15991072,0.15991072,0.16566777,0.16566777,0.15991072
0.16857925,0.16857925,0.16857925,0.16857925,0.16857925,0.16857925
0.18452296,0.18452296,0.1915636,0.1915636,0.1915636,0.1915636
0.17406997,0.17406997,0.17406997,0.17406997,0.17406997,0.17406997
0.19712028,0.19712028,0.19712028,0.16871953,0.16871953,0.19712028
0.1994778,0.1994778,0.16573049,0.16573049,0.17589913,0.16573049
0.1994778,0.16573049,0.18464242,0.16573049,0.18464242,0.16573049
0.18464242,0.18464242,0.18464242,0.16576599,0.16576599,0.16576599
0.1506031,0.11502461,0.15798116,0.11502461,0.16047893,0.11502461
0.1509568,0.1509568,0.1509568,0.119744755,0.119744755,0.1509568
0.16684957,0.16684957,0.1506031,0.1506031,0.1506031,0.1506031
0.18464242,0.15709114,0.1815797,0.16576599,0.1815797,0.1815797
0.15709114,0.1815797,0.1815797,0.1815797,0.1815797,0.1815797
0.16047893,0.17814462,0.17814462,0.15828843,0.15828843,0.16047893
0.15828843,0.15828843,0.15828843,0.15330446,0.15330446,0.15330446
0.19119735,0.19119735,0.19119735,0.19119735,0.19119735,0.19119735
0.20500709,0.209045,0.209045,0.209045,0.209045,0.209045
0.1815797,0.1815797,0.19054303,0.1815797,0.1815797,0.1815797
0.16334063,0.16334063,0.17975906,0.17975906,0.17975906,0.16334063
0.16047893,0.17814462,0.16047893,0.15828843,0.15082794,0.17814462
0.15828843,0.15828843,0.15330446,0.15330446,0.15330446,0.15330446
0.15330446,0.17839736,0.17839736,0.18248388,0.18248388,0.18248388
0.18248388,0.18248388,0.18248388,0.17903307,0.17903307,0.18248388
0.1534505,0.1534505,0.17439,0.17439,0.17439,0.1534505
0.1534505,0.1534505,0.17439,0.17439,0.17439,0.17439
0.17839736,0.18394294,0.22699827,0.18248388,0.22699827,0.22699827
0.19304672,0.19304672,0.19304672,0.20601818,0.20601818,0.19304672
0.19304672,0.19304672,0.19304672,0.20601818,0.20601818,0.20601818
0.20260915,0.20013234,0.21102129,0.20791657,0.20791657,0.20013234
0.18394294,0.22699827,0.22699827,0.22699827,0.22699827,0.22699827
0.14095463,0.14095463,0.37860686,0.37860686,0.37860686,0.37860686
0.20013234,0.20013234,0.20791657,0.20791657,0.20791657,0.20013234
0.37860686,0.37860686,0.37860686,0.37860686,0.37860686,0.37860686
0.20791657,0.20791657,0.20783149,0.20791657,0.19267996,0.20791657
0.1912133,0.19503519,0.19558915,0.19602595,0.19602595,0.20612083
0.22699827,0.17036788,0.17036788,0.13755241,0.15682085,0.13755241
0.19259535,0.19259535,0.17697276,0.19259535,0.17697276,0.19259535
0.14095463,0.14095463,0.37860686,0.37860686,0.2317485,0.14095463
0.37860686,0.37860686,0.2317485,0.37860686,0.2317485,0.37860686
0.37860686,0.2317485,0.2317485,0.37860686,0.2317485,0.2317485
0.20783149,0.21809745,0.21809745,0.2011127,0.20504181,0.2011127
0.19619043,0.19619043,0.19670235,0.19670235,0.19670235,0.19619043
0.14192946,0.14192946,0.16586496,0.17409529,0.16586496,0.16586496
0.21809745,0.21809745,0.21809745,0.2011127,0.20504181,0.20504181
0.17751567,0.17751567,0.17751567,0.14192946,0.14192946,0.15353754
0.17967603,0.17967603,0.17967603,0.19836262,0.19836262,0.17967603
0.17967603,0.19836262,0.19836262,0.19836262,0.19836262,0.19836262
0.17928097,0.18159924,0.18159924,0.17751567,0.18159924,0.18159924
0.16016124,0.16016124,0.1671874,0.1671874,0.1671874,0.1671874
0.14428107,0.14428107,0.15101834,0.15101834,0.15101834,0.15101834
0.15101834,0.15101834,0.15101834,0.18580946,0.18580946,0.15101834
0.17972447,0.16016124,0.17972447,0.1671874,0.1671874,0.16016124
0.17972447,0.17972447,0.16016124,0.17972447,0.1671874,0.17972447
0.22397456,0.22056074,0.22056074,0.22056074,0.2301273,0.22056074
0.16856487,0.16856487,0.15101834,0.15101834,0.18125542,0.18017583
0.22986825,0.22986825,0.22986825,0.23304616,0.23304616,0.23304616
0.1718849,0.1718849,0.1718849,0.18159924,0.16639563,0.16639563
0.1631325,0.17972447,0.1685267,0.17972447,0.13363141,0.17972447
0.13363141,0.16865687,0.15620458,0.15620458,0.16865687,0.15620458
0.1718849,0.1718849,0.1718849,0.16639563,0.16639563,0.16639563
0.1631325,0.1685267,0.17972447,0.1685267,0.1685267,0.1631325
0.20489958,0.20489958,0.20330276,0.20330276,0.20870146,0.20870146
0.1631325,0.1685267,0.1685267,0.1685267,0.1685267,0.1685267
0.16865687,0.16865687,0.18491513,0.18017583,0.20364334,0.18491513
0.18491513,0.18491513,0.18017583,0.20364334,0.20364334,0.20364334
0.18017583,0.20364334,0.20364334,0.18125542,0.24774009,0.20364334
0.20489958,0.20489958,0.20489958,0.20489958,0.20870146,0.20489958
0.1685267,0.16896255,0.1685267,0.1685267,0.16896255,0.1685267
0.13363141,0.13363141,0.16271669,0.16865687,0.16865687,0.16865687
0.20364334,0.20364334,0.20364334,0.18125542,0.24774009,0.24774009
0.13363141,0.16271669,0.16271669,0.13363141,0.16865687,0.16271669
0.16896255,0.1682545,0.16271669,0.1682545,0.17136335,0.1682545
0.21165502,0.22054757,0.22054757,0.22804111,0.22804111,0.22054757
0.22054757,0.22804111,0.22804111,0.22804111,0.21974163,0.22804111
0.22804111,0.22804111,0.20329061,0.20329061,0.20527667,0.21974163
0.17136335,0.17136335,0.20278911,0.20278911,0.16519797,0.16790013
0.21974163,0.20329061,0.20775817,0.20985287,0.20985287,0.20527667
0.16790013,0.20278911,0.20278911,0.21789908,0.21789908,0.16519797
0.20985287,0.20985287,0.20985287,0.21578252,0.21578252,0.20985287
0.1566058,0.1566058,0.1566058,0.1566058,0.1566058,0.1566058
0.20411655,0.20411655,0.20411655,0.20849217,0.20849217,0.20411655
0.17693114,0.20079796,0.20079796,0.20079796,0.20079796,0.20079796
0.20079796,0.20079796,0.20079796,0.20079796,0.21789908,0.20079796
0.1566058,0.1566058,0.16943996,0.1566058,0.16943996,0.1566058
0.2083189,0.20802937,0.2083189,0.21130064,0.21130064,0.2083189
0.20802937,0.2083189,0.2083189,0.21130064,0.21434702,0.21130064
0.21434702,0.21434702,0.20411655,0.20411655,0.20411655,0.20501187
0.13178487,0.1566058,0.16943996,0.1566058,0.16943996,0.16943996
0.17693114,0.18121883,0.18490733,0.20079796,0.18490733,0.18490733
0.18121883,0.18490733,0.18490733,0.18490733,0.18490733,0.18490733
0.18490733,0.18490733,0.18062189,0.18490733,0.18062189,0.18490733
0.21093567,0.21322508,0.21322508,0.20914814,0.20914814,0.2071601
0.21322508,0.21322508,0.21322508,0.21322508,0.2071601,0.21322508
0.18062189,0.18062189,0.17167921,0.17167921,0.17167921,0.17167921
0.18703713,0.18703713,0.19613183,0.19613183,0.19613183,0.18703713
0.2051794,0.20649806,0.20649806,0.20507914,0.20791708,0.20649806
0.18703713,0.19613183,0.19613183,0.19613183,0.19249035,0.19613183
0.1822173,0.1822173,0.19399707,0.19399707,0.19399707,0.19399707
0.20649806,0.2146432,0.20985535,0.21069081,0.20985535,0.21069081
0.1939729,0.1939729,0.18968587,0.18968587,0.18968587,0.1939729
0.18981053,0.1891689,0.1891689,0.1891689,0.18219145,0.1891689
0.1822173,0.19399707,0.2651189,0.19399707,0.2651189,0.19399707
0.21247455,0.21247455,0.21805012,0.2044846,0.1910996,0.20901574
0.1998112,0.20135212,0.19748615,0.19249035,0.19748615,0.20135212
0.19399707,0.2651189,0.2651189,0.19399707,0.2651189,0.2651189
0.26777443,0.18953851,0.26777443,0.26777443,0.18953851,0.26777443
0.26777443,0.26777443,0.18953851,0.26777443,0.18953851,0.26777443
0.1910996,0.1910996,0.1910996,0.1939729,0.19512415,0.1966788
0.1957625,0.1998112,0.20135212,0.19748615,0.19748615,0.1998112
0.2651189,0.2651189,0.2651189,0.2651189,0.2651189,0.2651189
0.26777443,0.18953851,0.26777443,0.18953851,0.18953851,0.18953851
0.26777443,0.18953851,0.18953851,0.26777443,0.18953851,0.18953851
0.19822828,0.19822828,0.15415739,0.17950785,0.17950785,0.19822828
0.17950785,0.17950785,0.20650715,0.20650715,0.20650715,0.20650715
0.20650715,0.20650715,0.20650715,0.2651189,0.2651189,0.20650715
0.20650715,0.20650715,0.2651189,0.2651189,0.2651189,0.2651189
0.18953851,0.18953851,0.18953851,0.18953851,0.18953851,0.18953851
0.18953851,0.18953851,0.18953851,0.18953851,0.18953851,0.18953851
0.18843156,0.18843156,0.18843156,0.18843156,0.18843156,0.18843156
0.18953851,0.18953851,0.18953851,0.18953851,0.18953851,0.18953851
0.18953851,0.18953851,0.18953851,0.18953851,0.18953851,0.18953851
